side,temp,obs,variable,value
90,2.7,energy,mean,-0.957949374735004
90,2.7,magnet,mean,0.0437312709814191
90,2.8,energy,mean,-0.909164784636488
90,2.8,magnet,mean,0.0376111275720165
90,2.9,energy,mean,-0.853678185309889
90,2.9,magnet,mean,0.0333480740740741
90,3,energy,mean,-0.847159235316124
90,3,magnet,mean,0.0302031377977304
90,3.1,energy,mean,-0.739067929168226
90,3.1,magnet,mean,0.0277636800099763
90,3.2,energy,mean,-0.731539114602818
90,3.2,magnet,mean,0.0258584489337823
90,3.3,energy,mean,-0.725057151265744
90,3.3,magnet,mean,0.0243604945753835
90,3.4,energy,mean,-0.670658598827784
90,3.4,magnet,mean,0.0230114789874049
90,3.5,energy,mean,-0.655431260755705
90,3.5,magnet,mean,0.0219606526998379
90,3.6,energy,mean,-0.63850613193665
90,3.6,magnet,mean,0.021005206384836
90,3.7,energy,mean,-0.613386649208131
90,3.7,magnet,mean,0.0202544359645841
90,3.8,energy,mean,-0.592719996009477
90,3.8,magnet,mean,0.0195389903978052
90,3.9,energy,mean,-0.572199785509415
90,3.9,magnet,mean,0.0188859044768674
90,4,energy,mean,-0.561747319615912
90,4,magnet,mean,0.0183327282703579
90,4.1,energy,mean,-0.52337284299788
90,4.1,magnet,mean,0.0178506629255518
90,4.2,energy,mean,-0.545190506048136
90,4.2,magnet,mean,0.0173988312757202
